Word,Freq,Rank
வருடாந்த,127,125
நடவடிக்கைகள்,127,126
படி,126,127
மத்திய,126,128
அவ்வாறு,126,129
ஒருவருக்கு,125,130
திணைக்களம்,123,131
கே,123,132
தலைவர்,121,133
5,121,134
என்ற,120,135
நிகழ்ச்சி,119,136
கொடுப்பனவு,119,137
வேறு,119,138
மொழி,117,139
மதிப்பீடு,117,140
கூடிய,116,141
கட்டளை,116,142
மேலும்,115,143
4,115,144
தகவல்,114,145
ஒவ்வொரு,114,146
ஊடாக,114,147
மேற்குறித்த,114,148
அவரது,113,149
கொள்ள,113,150
காரணமாக,112,151
இரண்டாம்,112,152
அதற்கமைய,111,153
அவருக்கு,111,154
பொ,111,155
கொள்ளல்,111,156
கல்விப்,109,157
தொகை,109,158
த,108,159
அடிப்படையில்,107,160
அதிகாரி,107,161
அமைச்சர்,106,162
வழங்க,105,163
இல,104,164
மொழிகள்,104,165
01,103,166
அங்கீகரிக்கப்படுமாக,103,167
மாத்தளை,102,168
பாதுகாப்பு,102,169
ஆர்,101,170
காலம்,101,171
விளையாட்டு,101,172
திருமதி,100,173
விடுமுறை,100,174
சார்பாக,100,175
தொகை,99,176
சமர்ப்பிக்கப்பட்டதுமான,99,177
தற்போது,99,178
2016,98,179
ஏற்ப,98,180
நாயகம்,97,181
வெளிநாட்டு,97,182
செலவு,97,183
KDS,96,184
அதிவிசேட,96,185
பற்றி,95,186
வழங்குதல்,95,187
ஆணையாளர்,95,188
உத்தியோகத்தரின்,95,189
இது,95,190
செய்யும்,94,191
பெற்ற,93,192
தமிழ்,93,193
ஆண்டில்,93,194
வகையில்,93,195
குறிப்பிடப்பட்டுள்ள,93,196
தெரிவு,93,197
10,93,198
இரண்டு,92,199
என,92,200
எச்,92,201
04,91,202
ஒன்று,91,203
அமைய,91,204
முகாமைத்துவ,91,205
நிலையம்,90,206
சான்றிதழ்,90,207
புகையிரத,90,208
சனநாயக,89,209
சேவையில்,88,210
பின்வரும்,88,211
தொழில்,88,212
அனுமதி,87,213
திட்டமிடல்,87,214
நிறுவனம்,87,215
சோசலிசக்,86,216
இலங்கைச்,85,217
மீண்டும்,85,218
7,85,219
ஏற்பாடுகள்,85,220
ரூ,84,221
பூர்த்தி,84,222
உத்தியோகத்தருக்கு,84,223
பதிவு,84,224
அதற்கு,83,225
வழங்கப்படும்,83,226
செய்ய,83,227
வேண்டியது,83,228
அரசியலமைப்பின்,83,229
PBK,83,230
அரசாங்கம்,83,231
டி,83,232
இணைப்பு,82,233
திகதிக்கு,82,234
காரியாலயம்,82,235
ஆக்கப்பட்டு,82,236
ஆகிய,81,237
ஓர்,81,238
இருந்து,81,239
பிரதம,80,240
இதன்,80,241
சுகாதார,80,242
ஓய்வு,80,243
பிரதான,79,244
காலப்,79,245
நீங்கள்,79,246
மூன்று,79,247
சிறுவர்,79,248
அவர்கள்,79,249
முறையில்,78,250
மக்கள்,78,251
அலுவல்கள்,78,252
ஊழியர்,77,253
திட்டம்,77,254
நிறுவனத்தின்,77,255
அறிவிக்கிறேன்,77,256
பணத்,77,257
வழங்கப்பட்ட,77,258
பணம்,76,259
குழு,76,260
திணைக்களத்தின்,76,261
நிருவாக,75,262
உத்தியோகத்தர்கள்,75,263
அதற்காக,74,264
பெற்று,74,265
அரசகரும,74,266
பிரிவில்,74,267
சிறந்த,74,268
05,74,269
ஒவ்வொரு,74,270
கொள்வனவு,73,271
ஊடக,73,272
வழங்கப்பட்டுள்ள,73,273
30,73,274
பிரகாரம்,73,275
பரிசீலனை,72,276
கொ,72,277
குறிப்பிட்ட,72,278
அதிபர்,72,279
அதிகார,71,280
இலங்கையில்,71,281
எனக்கு,71,282
குறைந்த,71,283
ஆசிரியர்,71,284
கணக்காய்வாளர்,71,285
பொருட்டு,70,286
கால,70,287
நிகழ்ச்சிகள்,70,288
பணிகள்,70,289
மோட்டார்,70,290
பெயர்கள்,69,291
நடவடிக்கைகளை,69,292
உங்களுக்கு,69,293
க,69,294
தலைமை,69,295
11,68,296
சந்தர்ப்பங்களில்,68,297
ஏற்பாடு,68,298
ம்,68,299
இன்றேல்,68,300
கடந்த,67,301
நாவலபிட்டிய,67,302
தொடர்பில்,67,303
பரீட்சை,67,304
வெவ்வேறாக,67,305
இச்சபையில்,66,306
வேலை,66,307
தற்போது,66,308
சபையின்,66,309
தனித்தனியாக,66,310
செய்வதற்கு,66,311
வரவு,66,312
2014,66,313
பொது,66,314
கூடாது,65,315
சேவையின்,65,316
14,65,317
கட்டணம்,65,318
வழங்கப்படுகின்ற,65,319
நிகழ்ச்சித்,65,320
அறியத்,64,321
அவர்களின்,64,322
உதவியாளர்,64,323
வழங்கும்,64,324
செலுத்த,64,325
கௌரவ,64,326
நிரந்தர,64,327
கௌரவ,63,328
வைத்திய,63,329
கடமை,63,330
என்,63,331
வீதி,63,332
பதில்,62,333
ஒளிபரப்பு,62,334
12,62,335
சம்பளமற்ற,62,336
காரணங்கள்,62,337
நிலை,62,338
மு,62,339
2012,62,340
06,62,341
தகவல்களை,62,342
நிர்வாக,61,343
ஏதேனும்,61,344
அமைந்துள்ள,61,345
அறிவாரா,61,346
ஓய்வூதிய,60,347
8,60,348
6,60,349
காணி,60,350
ஆகும்,60,351
தொலைக்காட்சி,60,352
ஆமெனில்,59,353
தொடர்பாடல்,59,354
விடயங்கள்,59,355
அறிவித்தல்,59,356
பொருளாதார,59,357
சேர்த்து,58,358
கூறுவாரா,58,359
கூட்டுத்தாபனத்தின்,58,360
ஸ்ரீ,58,361
2009,58,362
செய்வதற்காக,58,363
ஒழுங்கு,58,364
நிறுவனங்கள்,58,365
சம்பந்தமாக,58,366
மாநகர,58,367
நியமனம்,58,368
மருத்துவ,58,369
2010,58,370
சம்பந்தப்பட்ட,58,371
ஒன்றை,58,372
மேலதிகமாக,57,373
மாத்திரம்,57,374
டீ,57,375
எனினும்,57,376
ஜீ,57,377
சந்தர்ப்பத்தில்,57,378
எமது,57,379
மாதாந்த,57,380
வசதிகள்,57,381
அமைச்சரால்,57,382
குடியரசின்,56,383
எடுப்பாரா,56,384
இணைந்த,56,385
போது,56,386
2007,56,387
திட்டத்தின்,56,388
கற்கை,56,389
ஆரம்ப,56,390
கணக்கு,55,391
மேற்குறிப்பிட்ட,55,392
அங்கீகாரம்,55,393
அறிக்கையை,55,394
யாதென்பதையும்,55,395
அளவு,54,396
15,54,397
உறுப்பினர்,54,398
திகதியில்,54,399
பத்திரிகையில்,54,400
வர்த்தமானப்,54,401
மாவட்டத்தில்,53,402
மே,53,403
ஒருவரின்,53,404
செய்யப்படும்,53,405
பிரசுரிக்கப்பட்டதும்,53,406
வேண்டுமென,53,407
நடவடிக்கைகளுக்காக,53,408
மாகாணக்,53,409
என்று,53,410
9,52,411
பெற்றுக்கொள்ளல்,52,412
போன்ற,52,413
வாக்களிப்பு,52,414
அதில்,52,415
கூட்டிணைத்தல்,52,416
உட்பிரிவின்,52,417
என்பது,52,418
வியாபாரப்,52,419
ஊக்குவிப்பு,52,420
மகளிர்,52,421
கொடுக்க,51,422
தருகிறேன்,51,423
விஞ்ஞான,51,424
மின்வலு,51,425
அதற்கான,51,426
தருமாறு,51,427
என்பன,51,428
செயலாளரின்,51,429
தாபனப்,51,430
வாசிக்கப்படும்,51,431
வர்த்தமானியில்,50,432
சேவைக்,50,433
பெற்றுக்கொள்ள,50,434
வழங்கல்,50,435
தொடர்பில்,50,436
அடையாள,50,437
தமது,50,438
2015,50,439
நிலைய,50,440
உற்பத்தி,50,441
தனியார்,50,442
உரிமை,50,443
நீர்,49,444
தனிப்பட்ட,49,445
மணிக்கு,49,446
அவ்வாறான,49,447
மிகவும்,49,448
தகவல்கள்,49,449
பண்ட,49,450
அவ்வாறாயின்,49,451
அறியத்தருகின்றேன்,49,452
வங்கி,49,453
வருட,49,454
பிரதிகள்,49,455
செய்த,48,456
பஸ்பாகே,48,457
தினம்,48,458
விற்பனை,48,459
அலுவலக,48,460
அதன்படி,48,461
கீழே,48,462
கோறளை,47,463
நிறைவு,47,464
விண்ணப்பப்,47,465
அதனை,47,466
குடியரசு,47,467
அனுப்பி,47,468
நிர்மாணப்,47,469
உத்தியோகத்தர்களுக்கு,47,470
வலயக்,47,471
கொடுத்தல்,47,472
பாடசாலைகளில்,47,473
சேவைக்கு,47,474
கல்விச்,47,475
2013,47,476
திகதியுடைய,47,477
சிரேஷ்ட,47,478
உதவிப்,47,479
பணிப்பாளர்கள்,46,480
ஒருமைப்பாட்டு,46,481
வர்த்தக,46,482
முன்னேற்ற,46,483
மாத்திரமே,46,484
அமைச்சரும்,46,485
வருமானம்,46,486
ஊழியர்களின்,46,487
நாள்,46,488
இடம்,46,489
தவணைக்,46,490
கட்டணங்கள்,46,491
வரும்,46,492
விதத்தில்,46,493
படிவம்,46,494
அலுவலகம்,45,495
முகாமையாளர்,45,496
தொழில்நுட்ப,45,497
முடிவடையும்,45,498
உப,45,499
வெளியிடப்பட்டதும்,45,500
25,45,501
தற்காலிக,45,502
கூட்டுத்தாபனம்,45,503
ஒப்பந்தம்,45,504
சர்வதேச,45,505
ஒன்றினை,44,506
லீவுகள்,44,507
உயர்,44,508
நிதிச்,44,509
குற்றவியல்,44,510
மாத,44,511
21,44,512
கலந்து,44,513
சீ,44,514
மேலே,43,515
அரசாங்கத்தின்,43,516
ஆகக்,43,517
கைத்தொழில்,43,518
வீடமைப்பு,43,519
கொள்வதற்கு,43,520
மட்டத்தில்,43,521
மத,43,522
கண்டி,43,523
அபிவிருத்திக்,43,524
அமைவாக,43,525
செலுத்தப்பட்ட,43,526
மிக,43,527
ஒழுங்குவிதிகள்,43,528
வலய,43,529
நீதி,43,530
இடமாற்றம்,43,531
மாத்திரமேயாகும்,43,532
மாணவர்கள்,43,533
எத்தனை,43,534
பாராளுமன்ற,42,535
அறிவிக்கின்றேன்,42,536
பத்திரம்,42,537
சிபாரிசு,42,538
இரு,42,539
சிங்கள,42,540
மின்,42,541
சட்ட,42,542
தயாரித்தல்,42,543
இந்தக்,42,544
அங்கீகரிக்கப்பட்ட,42,545
கடிதத்துடன்,42,546
போக்குவரத்து,42,547
மீள,41,548
ஆய்வு,41,549
நேரம்,41,550
பல்வேறு,41,551
சக்தி,41,552
திருத்தம்,41,553
கருத்திட்டங்கள்,41,554
பெற்றுத்,41,555
அரைச்,41,556
இதற்கு,41,557
பயணச்,41,558
வைத்தல்,41,559
சமர்ப்பித்தல்,41,560
பொருத்தமான,40,561
பிரயாணம்,40,562
எதிர்காலத்தில்,40,563
விபரங்கள்,40,564
ரீதியில்,40,565
மேற்பட்ட,40,566
செலுத்தப்பட,40,567
எனும்,40,568
செய்யப்பட்டுள்ளது,40,569
நடைபெறும்,40,570
கணக்காய்வு,40,571
பொறுப்பான,40,572
பெறும்,40,573
ஐ,40,574
தெரிவிப்பாரா,40,575
பதவியில்,40,576
க்கு,40,577
அவரின்,40,578
கொள்வதற்காக,39,579
13,39,580
ஒருவரை,39,581
வீதம்,39,582
அடிப்படை,39,583
முதலீடு,39,584
அவ்வாறே,39,585
மாவட்டத்தின்,39,586
ஒரே,39,587
07,39,588
கோரளை,39,589
இப்பாராளுமன்றம்,39,590
உறுதி,39,591
பயணம்,39,592
பதிலாக,39,593
உள்ளிட்ட,39,594
பொலிஸ்,39,595
ஏன்,39,596
தேர்தல்,39,597
பெறுகின்ற,39,598
அவர்களுக்கு,39,599
செய்யப்பட்டுள்ள,38,600
பல,38,601
இருப்பின்,38,602
உத்தியோகத்தர்களின்,38,603
இந்தப்,38,604
பதவிக்கு,38,605
kg,38,606
திகதியன்று,38,607
பழைய,38,608
மாகாணம்,38,609
எனவே,38,610
உறுப்புரையின்,38,611
நடைபெற்ற,38,612
வழங்குவதற்கு,38,613
காப்புறுதி,38,614
ஒதுக்கீடு,38,615
ஆவணங்கள்,37,616
ED,37,617
ஏற்பட்ட,37,618
எதிராக,37,619
ஆசிரியர்கள்,37,620
அரசின்,37,621
இல்,37,622
ஆசிரிய,37,623
கடிதத்தில்,37,624
இளைஞர்,37,625
கொள்ளும்,37,626
இருத்தல்,37,627
விலை,37,628
கணக்காளர்,37,629
முதலீட்டு,37,630
18,36,631
அறவீடு,36,632
31ஆம்,36,633
நிறுவனங்களின்,36,634
வழங்கப்பட,36,635
திகதியிலிருந்து,36,636
"
  ",36,637
நாட்கள்,36,638
08,36,639
இறக்குமதி,36,640
பிரயாணச்,36,641
தொடர்புடைய,36,642
மொழிக்,36,643
தொகையை,36,644
செயலாளர்கள்,36,645
இறுதி,36,646
=,36,647
தீர்மானிக்கின்றது,36,648
தரம்,36,649
22,36,650
பிரிவிற்கமையவும்,36,651
இணைத்து,36,652
தொடக்கம்,35,653
கருணாநாயக்க,35,654
இதற்காக,35,655
செய்யப்படுகின்ற,35,656
இற்றைவரை,35,657
ரவி,35,658
இவ்,35,659
காலப்பகுதியில்,35,660
38ஆம்,35,661
செலுத்துதல்,35,662
கொள்வனவு,35,663
நிலையில்,35,664
சம்பளத்தை,35,665
இருக்கும்,35,666
காரியாலயத்தில்,35,667
அதிபதியின்,35,668
வாடகை,35,669
சமர்ப்பிக்கப்பட்டதும்,35,670
நாவலப்பிட்டிய,35,671
குழுவின்,35,672
கல்வித்,35,673
பாடநெறி,35,674
வருகை,34,675
அனுமதிக்கப்பட்ட,34,676
அனுப்பப்பட்ட,34,677
வடக்கு,34,678
வழங்குவதற்காக,34,679
மதிப்பீட்டு,34,680
முற்பணம்,34,681
பஸ்பாகெ,34,682
தீர்மானம்,34,683
நாயகத்தின்,34,684
2008.12,34,685
லீவினைப்,34,686
தொடர்புடையது,34,687
எரிபொருள்,34,688
முடியாது,34,689
1971ஆம்,34,690
பொருட்டு,34,691
வள,33,692
மொத்த,33,693
புத்திக,33,694
கிழக்கு,33,695
16,33,696
157,33,697
அவை,33,698
தவணை,33,699
செலுத்தி,33,700
தயாரிப்பு,33,701
தான்,33,702
மாணவர்களின்,33,703
வேண்டி,33,704
ஒழுக்காற்று,33,705
கூட்டிணைக்கப்பட்ட,33,706
முதலீடுகளை,33,707
மேம்படுத்துவதற்கும்,33,708
அறவீட்டுச்,33,709
மணி,33,710
கொள்கை,33,711
ஆணைக்குழு,33,712
தயாரிக்கப்பட்ட,33,713
பணத்தொகை,33,714
நி,33,715
செலுத்தப்படும்,33,716
தேசியப்,33,717
காரியாலய,33,718
என்னும்,33,719
இ,33,720
உடனடியாக,33,721
பின்வருமாறு,33,722
முதலாம்,33,723
அரசாங்கத்திற்கும்,33,724
உபகரணங்கள்,33,725
அபிவிருத்திக்கு,33,726
முகவரி,33,727
2011.09.07,32,728
சுதேசிகளினாலும்,32,729
தொடர்பாக,32,730
ஒதுக்கப்பட்ட,32,731
அறியத்தருகிறேன்,32,732
காப்பதற்குமாக,32,733
அமைச்சரவையின்,32,734
கைச்சாத்திடப்பட்டதும்,32,735
நிலையங்கள்,32,736
வரி,32,737
முறையான,32,738
செயலாளருக்கு,32,739
கட்டியமைக்கப்பட்ட,32,740
அரசினாலும்,32,741
ஒப்பந்தமானது,32,742
பணிகளை,32,743
முழுச்,32,744
விசாரணை,32,745
பிரிவுகளின்,32,746
சுற்றாடல்,32,747
பங்களிப்பு,32,748
மின்சார,32,749
நன்மைகள்,32,750
கொடுப்பனவு,32,751
விவசாய,32,752
உணவு,32,753
கம்பனிகளினாலும்,32,754
இன்,32,755
அதிகாரம்,32,756
கழகங்களினாலும்,32,757
ஆங்கில,32,758
வருடத்தின்,32,759
இதுவரை,32,760
மாதாந்தம்,32,761
அங்கீகரிக்கப்படுதல்,32,762
மீது,32,763
கிடைக்கப்,32,764
உங்களது,31,765
யாதேனுமொரு,31,766
சில,31,767
லங்கா,31,768
கூட்டம்,31,769
ஒற்றோபர்,31,770
மேற்,31,771
பெற்றுள்ள,31,772
நிபந்தனைகள்,31,773
எல்லா,31,774
இவர்களுக்கு,31,775
விழா,31,776
ஜயசேகர,31,777
20,31,778
நபர்,31,779
கிடையாது,31,780
என்பவற்றை,31,781
அந்தக்,31,782
சபையில்,31,783
பெரேரா,31,784
கொழும்பு,31,785
நடத்த,31,786
வாகன,31,787
பத்திரண,31,788
திட்டங்கள்,31,789
பிரிவினால்,31,790
பொறியியல்,31,791
ஒன்றில்,31,792
செலவுத்,30,793
35,30,794
பரிந்துரை,30,795
செல்லும்,30,796
எனவும்,30,797
செய்வதற்கான,30,798
சட்டங்களின்,30,799
ஜனாதிபதி,30,800
தொலைபேசி,30,801
குறிப்பிடப்பட்ட,30,802
2008,30,803
பந்தி,30,804
உள்ளூராட்சி,30,805
எல்,30,806
உதவிச்,30,807
அனுப்ப,30,808
பெறப்பட்டுள்ளது,30,809
சபைக்கு,30,810
கூட்டுத்தாபன,30,811
துறையில்,30,812
விமான,30,813
பெற,30,814
தலைவருக்கு,30,815
அனர்த்த,30,816
தவிர்ந்த,29,817
மேற்கொள்ளுமாறு,29,818
தகைமைகள்,29,819
நிகழ்ச்சிகளை,29,820
வது,29,821
வட்டி,29,822
கட்டளைச்,29,823
சாதாரண,29,824
பரீட்சையில்,29,825
வேலைத்திட்டம்,29,826
எடுக்கும்,29,827
உ,29,828
நிறுவனத்தினால்,29,829
பிரேரணை,29,830
மாவட்டச்,29,831
உயர்வு,29,832
தகைமை,29,833
பொருட்கள்,29,834
அறிக்கையும்,29,835
இசை,29,836
முடியாத,29,837
கடிதங்கள்,29,838
அமய,29,839
பின்,29,840
இல்லை,29,841
ஏற்படும்,29,842
ஆட்சேர்ப்புத்,29,843
மாதிரி,29,844
சட்டக்கோவை,29,845
அறிக்கையின்,29,846
வெளியே,29,847
திட்ட,29,848
நிர்மாண,29,849
கணக்குகளும்,28,850
வருமான,28,851
தயாரித்து,28,852
மேல்,28,853
வித்தியாலயம்,28,854
சிங்களம்,28,855
எந்தவொரு,28,856
அடுத்த,28,857
வருகின்ற,28,858
மாணவர்,28,859
மாதிரிப்,28,860
வருடத்தில்,28,861
செய்யப்பட்டது,28,862
தொடக்கம்,28,863
கட்டம்,28,864
தற்காலிகமாக,28,865
சங்கத்தின்,28,866
சம்பளத்துடனான,28,867
அதிகாரியினால்,28,868
தலைவரின்,28,869
எதிர்கால,28,870
படிகள்,28,871
குறிப்பிட்டுள்ள,28,872
உள்நாட்டு,28,873
பயன்படுத்தி,28,874
கிராமிய,28,875
17,28,876
முதியோர்,28,877
கட்டாய,28,878
ஆ,27,879
அதே,27,880
ஆவணங்களை,27,881
நிலையியற்,27,882
வங்கியின்,27,883
சாசன,27,884
ஒத்துழைப்பை,27,885
வகுப்பு,27,886
கீழான,27,887
சேவையிலிருந்து,27,888
அறிக்கைகள்,27,889
அரசாங்கத்தினால்,27,890
அதிபர்கள்,27,891
அரசக௫ம,27,892
ஐந்து,27,893
ரூபவாஹினி,27,894
அளவுத்,27,895
வீர,27,896
கொள்கிறேன்,27,897
பாடசாலைகள்,27,898
என்னிடம்,27,899
காலத்திற்கு,27,900
நவெம்பர்,27,901
எனப்,27,902
மட்டும்,27,903
மாதத்திற்கு,27,904
வினைத்திறன்காண்,27,905
வரையிலான,27,906
மூலமாக,27,907
குறித்து,26,908
சேர்ந்த,26,909
உள்ளக,26,910
ஒன்றுக்கு,26,911
நாடகம்,26,912
இருந்த,26,913
முறை,26,914
ஒப்பம்,26,915
அனுப்புகிறேன்,26,916
எந்த,26,917
நாடு,26,918
முடிவது,26,919
பெறுமதி,26,920
தயாசிறி,26,921
I,26,922
மேற்கூறப்பட்ட,26,923
24,26,924
அதிகாரசபைச்,26,925
காரணம்,26,926
சமர்ப்பிக்கப்பட்ட,26,927
ஜே,26,928
மாடி,26,929
பதவிநிலை,26,930
மீளச்,26,931
திருத்தச்,26,932
வசதிகளை,26,933
அட்டை,26,934
முந்திய,26,935
வேண்டுகிறேன்,26,936
பணத்தை,26,937
இவ்வாறு,26,938
உத்தியோகபூர்வ,26,939
கீழ்வரும்,26,940
மனித,25,941
தொடர்,25,942
வீட்டு,25,943
திணைக்கள,25,944
கேள்விப்,25,945
அளவை,25,946
மூன்றாம்,25,947
அதாவது,25,948
அதிகாரிக்கு,25,949
கொள்முதல்,25,950
அதிகாரிகள்,25,951
தொலைபேசி,25,952
ஊழியர்கள்,25,953
தினத்தில்,25,954
செய்யுமாறு,25,955
பண்டார,25,956
கொழும்பு,25,957
சொந்தமான,25,958
III,25,959
நியமிப்புச்,25,960
ஈ,25,961
தொழில்நுட்பம்,25,962
மொத்த,25,963
கருத்திட்டம்,25,964
சீட்டுக்கள்,25,965
கருத்திட்ட,25,966
பொறுப்பு,25,967
குறிப்பு,25,968
சுற்றறிக்கை,25,969
எழுத்து,25,970
நடவடிக்கைமுறைச்,25,971
ஒன்றின்,24,972
எடுக்க,24,973
வயது,24,974
நான்கு,24,975
அறிந்து,24,976
அப்,24,977
நேர,24,978
காலத்தை,24,979
வாகனம்,24,980
குமார,24,981
பிறப்புச்,24,982
முழுமையான,24,983
கடிதத்தின்,24,984
நேரலை,24,985
எதிர்பார்க்கப்படும்,24,986
மாதத்தில்,24,987
பெளத்த,24,988
செய்தி,24,989
வெளிநாடு,24,990
மேலதிகச்,24,991
குறிப்பிடப்பட்டுள்ளவாறு,24,992
சம்பளப்,24,993
அமைச்சரினால்,24,994
தரத்தில்,24,995
09,24,996
பொதுச்,24,997
பணிகளுக்காக,24,998
ரூபவாஹினிக்,24,999
இத்தால்,24,1000
டிப்ளோமா,23,1001
பட்டுள்ளது,23,1002
மஹிந்த,23,1003
காரியாலயத்துக்கு,23,1004
பெறுவதற்கு,23,1005
ஆரம்பக்,23,1006
பச்பாகே,23,1007
நிர்மாணம்,23,1008
அலுவலகத்திற்கு,23,1009
மொத்தப்,23,1010
கணினி,23,1011
வேலைகள்,23,1012
வேண்டியதுடன்,23,1013
தொழினுட்ப,23,1014
பரிசோதனை,23,1015
மேற்பார்வை,23,1016
ஆரம்பிக்கப்பட்ட,23,1017
பெற்றுக்கொடுக்க,23,1018
அமைச்சருமானவரைக்,23,1019
தடை,23,1020
தர,23,1021
அத்துடன்,23,1022
மார்ச்,23,1023
போட்டி,23,1024
ஓய்வூதியம்,23,1025
பிரதேசத்தில்,23,1026
என்றும்,23,1027
ஆண்டுகளில்,23,1028
சமமான,23,1029
வேறொரு,23,1030
தொழில்,23,1031
ஆராய்ச்சி,23,1032
பங்கு,23,1033
நடைமுறைப்படுத்த,23,1034
எல்லை,23,1035
சேவைப்,23,1036
ரத்நாயக்க,23,1037
உட்பிரிவு,23,1038
கூட்டுறவு,23,1039
ஏற்ற,23,1040
முகவரிகள்,23,1041
சனாதிபதியினால்,23,1042
அச்சட்டத்தின்,23,1043
நடத்தை,23,1044
நேரடி,23,1045
தபால்,23,1046
பொறியியலாளர்,23,1047
வருடம்,23,1048
மக்களுக்கு,23,1049
60,22,1050
எண்,22,1051
ஒ,22,1052
வாகனங்களின்,22,1053
சான்றிதழின்,22,1054
கொள்கின்ற,22,1055
பட்டியல்,22,1056
குழுவினால்,22,1057
42,22,1058
அத்தியாயமான,22,1059
சுற்று,22,1060
ஆணைக்குழுவின்,22,1061
அடங்கிய,22,1062
ஜனவரி,22,1063
ஜூன்,22,1064
நியமிக்கப்பட்ட,22,1065
பற்றியும்,22,1066
மேற்கொள்ளப்படும்,22,1067
வழங்கிய,22,1068
பல்கலைக்கழக,22,1069
எடுத்து,22,1070
கிளை,22,1071
போன்று,22,1072
மேம்படுத்தல்,22,1073
போதிலும்,22,1074
பாடசாலைகளுக்கு,22,1075
சில்வா,22,1076
பிரிவுடன்,22,1077
பாடசாலைகளின்,22,1078
இச்,22,1079
அவரை,22,1080
கமநல,22,1081
மாத்தறை,22,1082
சம்பளத்துடன்,22,1083
செத்தெம்பர்,22,1084
பாதுகாப்புச்,22,1085
நியமன,22,1086
அனுப்புதல்,22,1087
ஏதாவது,22,1088
பெறுதகு,22,1089
அமர்வு,22,1090
ஆலோசகர்களின்,22,1091
காணப்படுகின்ற,22,1092
உத்தியோகத்தர்களை,22,1093
ஏற்றுக்கொள்வாரா,22,1094
வலு,22,1095
முன்பு,22,1096
வழிகாட்டல்,22,1097
கடமைகளை,22,1098
திட்டத்தில்,22,1099
இல்லாத,22,1100
தாமதமின்றி,22,1101
கட்டிடம்,22,1102
பிரிவுகள்,22,1103
பொதுவாக,22,1104
அந்தந்த,22,1105
ஜயவர்தனபுர,22,1106
அத்தியாயத்தின்,22,1107
சிவில்,22,1108
முதலாவது,21,1109
நகர,21,1110
பாடசாலைக்,21,1111
யூ,21,1112
தொழில்சார்,21,1113
பிரிவுக்கு,21,1114
செல்வதற்கான,21,1115
காலி,21,1116
தொடர்ந்தும்,21,1117
குறிப்பிடப்படும்,21,1118
லீவினை,21,1119
திட்டத்தை,21,1120
உட்பட,21,1121
முன்னேற்றத்தை,21,1122
ஒத்திவைக்கப்பட்ட,21,1123
இலங்கையின்,21,1124
நேர்முகப்,21,1125
உள்ளூர்,21,1126
விவாதம்,21,1127
மேற்கொள்ளப்படும்,21,1128
அமைச்சுக்கு,21,1129
48,21,1130
அபிவிருத்திச்,21,1131
பொருளாதார,21,1132
ஏதேனுமொரு,21,1133
நட்டம்,21,1134
நாட்களில்,21,1135
